id,Player,Pos,Ht,Wt,Birth Date,Birth,College
208,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,Saint Joseph's
209,James Harden,PG,6-5,220,"August 26, 1989",us US,Arizona State
210,Shaquille Harrison,SG,6-4,190,"October 6, 1993",us US,Tulsa
211,James Johnson,PF,6-7,240,"February 20, 1987",us US,Wake Forest
212,Paul Millsap,C,6-7,257,"February 10, 1985",us US,Louisiana Tech
213,Jarrett Allen,C,6-11,243,"April 21, 1998",us US,Texas
214,Chris Chiozza,PG,5-11,175,"November 21, 1995",us US,Florida
215,Tyler Cook,PF,6-8,255,"September 23, 1997",us US,Iowa
216,Jeff Green,PF,6-8,235,"August 28, 1986",us US,Georgetown
217,Mike James,PG,6-1,189,"August 18, 1990",us US,Lamar
218,Alize Johnson,PF,6-7,212,"April 22, 1996",us US,"Frank Phillips College, Missouri State"
219,Tyler Johnson,SG,6-3,186,"May 7, 1992",us US,Fresno State
220,DeAndre Jordan,C,6-11,265,"July 21, 1988",us US,Texas A&M
221,Rodions Kurucs,PF,6-9,228,"February 5, 1998",lv LV,
222,Norvel Pelle,C,6-10,231,"February 3, 1993",ag AG,
223,Reggie Perry,PF,6-8,250,"March 21, 2000",us US,Mississippi State
224,Andre Roberson,SG,6-7,210,"December 4, 1991",us US,Colorado
225,Landry Shamet,SG,6-4,190,"March 13, 1997",us US,Wichita State
226,Iman Shumpert,SG,6-5,215,"June 26, 1990",us US,Georgia Tech
227,Wilson Chandler,PF,6-8,235,"May 10, 1987",us US,DePaul
228,Jamal Crawford,SG,6-5,185,"March 20, 1980",us US,Michigan
229,Henry Ellenson,C,6-10,240,"January 13, 1997",us US,Marquette
230,Donta Hall,C,6-9,232,"August 7, 1997",us US,Alabama
231,Jeremiah Martin,PG,6-3,185,"June 19, 1996",us US,Memphis
232,Dzanan Musa,SF,6-9,217,"May 8, 1999",ba BA,
233,David Nwaba,SF,6-5,219,"January 14, 1993",us US,Cal Poly
234,Theo Pinson,SG,6-5,212,"November 5, 1995",us US,UNC
235,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,LSU
236,Lance Thomas,PF,6-8,240,"April 24, 1988",us US,Duke
237,DeMarre Carroll,PF,6-6,215,"July 27, 1986",us US,"Vanderbilt, Missouri"
238,Mitch Creek,SF,6-5,216,"April 27, 1992",au AU,
239,Ed Davis,C,6-9,218,"June 5, 1989",us US,UNC
240,Jared Dudley,PF,6-6,237,"July 10, 1985",us US,Boston College
241,Kenneth Faried,C,6-8,220,"November 19, 1989",us US,Morehead State University
242,Rondae Hollis-Jefferson,SF,6-6,217,"January 3, 1995",us US,Arizona
243,Tahjere McCall,SG,6-5,195,"August 17, 1994",us US,Tennessee State
244,Shabazz Napier,PG,6-0,175,"July 14, 1991",us US,UConn
245,Alan Williams,PF,6-8,265,"January 28, 1993",us US,UC Santa Barbara
246,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,
247,Damion Baugh,SG,6-4,194,"August 3, 2000",us US,"Memphis, TCU"
248,Miles Bridges,PF,6-7,225,"March 21, 1998",us US,Michigan State
249,Moussa Diabate,C,6-11,210,"January 21, 2002",fr FR,Michigan
250,Malachi Flynn,PG,6-1,175,"May 10, 1998",us US,"Washington State, San Diego State"
251,Marcus Garrett,SG,6-5,205,"November 9, 1998",us US,Kansas
252,Taj Gibson,C,6-9,232,"June 24, 1985",us US,USC
253,Josh Green,SG,6-5,200,"November 16, 2000",au AU,Arizona
254,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us US,"Oral Roberts, Tulsa"
255,Tre Mann,PG,6-3,178,"February 3, 2001",us US,Florida
256,Cody Martin,SF,6-5,205,"September 28, 1995",us US,"NC State, Nevada"
257,Vasilije Micic,PG,6-5,200,"January 13, 1994",rs RS,
258,Brandon Miller,SF,6-9,201,"November 22, 2002",us US,Alabama
259,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us US,Duke
260,Jusuf Nurkic,C,7-0,290,"August 23, 1994",ba BA,
261,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,Georgia Tech
262,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,Louisiana
263,Jared Rhoden,SG,6-6,210,"August 27, 1999",us US,Seton Hall
264,Nick Richards,C,7-0,245,"November 29, 1997",jm JM,Kentucky
265,Tidjane Salaun,PF,6-9,207,"August 10, 2005",fr FR,
266,KJ Simpson,PG,6-0,189,"August 8, 2002",us US,Colorado
267,Jaylen Sims,SG,6-6,195,"December 11, 1998",us US,UNC Wilmington
268,Nick Smith Jr.,SG,6-2,185,"April 18, 2004",us US,Arkansas
269,Mark Williams,C,7-0,241,"December 16, 2001",us US,Duke
270,Isaiah Wong,SG,6-4,184,"January 28, 2001",us US,Miami (FL)
271,Amari Bailey,PG,6-5,185,"February 17, 2004",us US,UCLA
272,Davis Bertans,PF,6-10,225,"November 12, 1992",lv LV,
273,Leaky Black,SF,6-9,205,"June 14, 1999",us US,UNC
274,Marques Bolden,C,6-10,249,"April 17, 1998",us US,Duke
275,James Bouknight,SG,6-5,190,"September 18, 2000",us US,UConn
276,Theo Maledon,PG,6-4,175,"June 12, 2001",fr FR,
277,Bryce McGowens,SG,6-7,179,"November 8, 2002",us US,Nebraska
278,Nathan Mensah,C,6-8,230,"April 9, 1998",gh GH,San Diego State
279,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be BE,
280,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs RS,
281,Ish Smith,PG,6-0,175,"July 5, 1988",us US,Wake Forest
282,JT Thor,PF,6-10,205,"August 26, 2002",us US,Auburn
283,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,Kentucky
284,Kai Jones,C,6-11,218,"January 19, 2001",bs BS,Texas
285,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,San Diego State
286,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,Kansas
287,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,Duke
288,Kobi Simmons,SG,6-5,166,"July 4, 1997",us US,Arizona
289,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,Kansas State
290,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us US,Duke
291,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,Louisville
292,Arnoldas Kulboka,SF,6-9,198,"January 4, 1998",lt LT,
293,Scottie Lewis,SG,6-5,189,"March 12, 2000",us US,Florida
294,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,Washington
295,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,
296,Nate Darling,SG,6-6,200,"August 30, 1998",ca CA,"UAB, University of Delaware"
297,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,Kansas
298,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,"NC State, Nevada"
299,Malik Monk,SG,6-3,200,"February 4, 1998",us US,Kentucky
300,Grant Riller,PG,6-2,190,"February 8, 1997",us US,College of Charleston
301,Cody Zeller,C,6-11,240,"October 5, 1992",us US,Indiana
302,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,Florida State
303,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr FR,
304,Joe Chealey,PG,6-3,190,"November 1, 1995",us US,College of Charleston
305,Willy Hernangomez,C,6-11,250,"May 27, 1994",es ES,
306,Michael Kidd-Gilchrist,PF,6-6,232,"September 26, 1993",us US,Kentucky
307,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,UNC
308,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us US,UConn
309,Shelvin Mack,PG,6-3,203,"April 22, 1990",us US,Butler
310,J.P. Macura,SG,6-5,203,"June 5, 1995",us US,Xavier
311,Tony Parker,PG,6-2,185,"May 17, 1982",be BE,
312,Lonzo Ball,PG,6-6,190,"October 27, 1997",us US,UCLA
313,Matas Buzelis,SF,6-10,209,"October 13, 2004",us US,
314,Zach Collins,PF,6-11,250,"November 19, 1997",us US,Gonzaga
315,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us US,Illinois
316,Chris Duarte,SG,6-6,190,"June 13, 1997",do DO,Oregon
317,Josh Giddey,PG,6-8,210,"October 10, 2002",au AU,
318,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,Iowa State
319,Tre Jones,PG,6-1,185,"January 8, 2000",us US,Duke
320,Zach LaVine,SF,6-5,200,"March 10, 1995",us US,UCLA
321,E.J. Liddell,PF,6-7,240,"December 18, 2000",us US,Ohio State
322,Emanuel Miller,PF,6-7,215,"June 19, 2000",ca CA,"Texas A&M, TCU"
323,Julian Phillips,SF,6-8,198,"November 5, 2003",us US,Tennessee
324,Adama Sanogo,C,6-9,245,"February 12, 2002",ml ML,UConn
325,Jalen Smith,C,6-10,215,"March 16, 2000",us US,Maryland
326,Dalen Terry,SG,6-7,195,"July 12, 2002",us US,Arizona
327,Nikola Vucevic,C,6-10,260,"October 24, 1990",ch CH,USC
328,Coby White,SG,6-5,195,"February 16, 2000",us US,UNC
329,Patrick Williams,PF,6-7,215,"August 26, 2001",us US,Florida State
330,Jahmir Young,PG,6-2,185,"October 7, 2000",us US,"UNC Charlotte, Maryland"
331,Onuralp Bitim,SG,6-6,215,"March 31, 1999",tr TR,
332,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,Texas A&M
333,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,USC
334,Henri Drell,SF,6-9,187,"April 25, 2000",ee EE,
335,Andrew Funk,SG,6-5,200,"September 21, 1999",us US,"Bucknell, Penn State"
336,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,Austin Peay State University
337,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,Arkansas
338,Tony Bradley,C,6-10,248,"January 8, 1998",us US,UNC
339,Carlik Jones,PG,6-1,185,"December 23, 1997",us US,"Radford, Louisville"
340,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us US,UNLV
341,Marko Simonovic,C,6-11,216,"October 15, 1999",me ME,
342,Jordan Bell,C,6-8,216,"January 7, 1995",us US,Oregon
343,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,Oregon
344,Devon Dotson,PG,6-2,185,"August 2, 1999",us US,Kansas
345,Mac McClung,PG,6-2,185,"January 6, 1999",us US,"Georgetown, Texas Tech"
346,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",us US,Green Bay
347,Matt Thomas,SG,6-4,190,"August 4, 1994",us US,Iowa State
348,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us US,Wake Forest
349,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,Villanova
350,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,Duke
351,Cristiano Felicio,C,6-11,270,"July 7, 1992",br BR,
352,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,Arkansas
353,Chandler Hutchison,SF,6-6,210,"April 26, 1996",us US,Boise State
354,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi FI,Arizona
355,Adam Mokoka,SG,6-4,190,"July 18, 1998",fr FR,
356,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,Georgetown
357,Tomas Satoransky,SG,6-7,210,"October 30, 1991",cz CZ,
358,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,Michigan State
359,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,Georgia Tech
360,Max Strus,SF,6-5,215,"March 28, 1996",us US,"Lewis (IL), DePaul"
361,Rawle Alkins,SG,6-5,225,"October 29, 1997",us US,Arizona
362,Antonio Blakeney,SG,6-4,192,"October 4, 1996",us US,LSU
363,Walt Lemon Jr.,PG,6-3,180,"July 26, 1992",us US,Bradley
364,Robin Lopez,C,7-1,281,"April 1, 1988",us US,Stanford
365,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,Murray State
366,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,Arkansas
367,Brandon Sampson,SG,6-5,184,"May 1, 1997",us US,LSU
368,JaKarr Sampson,SF,6-7,214,"March 20, 1993",us US,St. John's
369,Wayne Selden,SG,6-5,230,"September 30, 1994",us US,Kansas
370,Tyler Ulis,PG,5-10,160,"January 5, 1996",us US,Kentucky
